City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
300,japura,99,ID,1586114849,97,-0.32,102.35,296.95,1.0
301,carnduff,68,CA,1586114849,81,49.17,-101.8,272.59,3.58
302,luderitz,12,NA,1586114849,87,-26.65,15.16,288.15,3.6
303,addis abeba,44,ET,1586114763,30,9.03,38.75,289.06,3.8
304,touros,40,BR,1586114850,83,-5.2,-35.46,302.15,5.7
305,vredendal,49,ZA,1586114850,84,-31.67,18.5,287.54,2.71
306,la esperanza,40,GT,1586114850,49,14.87,-91.57,307.15,3.1
307,bay roberts,75,CA,1586114850,74,47.6,-53.26,273.15,5.7
308,gornopravdinsk,100,RU,1586114850,96,60.05,69.9,275.54,2.59
309,anzio,55,IT,1586114850,29,41.49,12.62,291.15,1.5
310,serik,75,TR,1586114850,93,36.92,31.1,290.93,1.5
311,yar-sale,100,RU,1586114851,98,66.83,70.83,273.7,0.9
312,conceicao do araguaia,64,BR,1586114851,68,-8.26,-49.26,304.38,0.4
313,agogo,61,GH,1586114851,47,6.8,-1.08,304.06,0.41
314,berdigestyakh,44,RU,1586114851,95,62.1,126.7,264.67,2.77
315,saldanha,43,ZA,1586114851,88,-33.01,17.94,290.15,3.6
316,de-kastri,0,RU,1586114851,95,51.47,140.78,268.6,4.21
317,semporna,20,MY,1586114851,100,4.48,118.61,298.15,1.0
318,matara,49,LK,1586114851,77,5.95,80.54,299.3,1.1
319,longuenesse,0,FR,1586114851,48,50.73,2.24,290.93,1.0
320,sarangani,24,PH,1586114852,76,5.4,125.46,301.21,7.54
321,novyy svit,0,UA,1586114852,49,47.81,38.02,280.97,4.89
322,igrim,100,RU,1586114816,97,63.19,64.42,273.17,2.15
323,churapcha,87,RU,1586114852,94,62.0,132.43,260.44,2.87
324,katobu,100,ID,1586114852,89,-4.94,122.53,298.14,0.37
325,jiupu,0,CN,1586114852,50,41.07,122.95,278.97,1.95
326,iwanai,99,JP,1586114852,89,42.97,140.51,274.75,1.91
327,biak,72,ID,1586114853,74,-0.91,122.88,299.97,0.93
328,dalbandin,53,PK,1586114643,17,28.89,64.41,298.45,1.81
329,aripuana,99,BR,1586114853,59,-9.17,-60.63,304.99,1.2
330,wagar,15,SD,1586114853,45,16.15,36.2,303.67,6.43
331,steamboat springs,40,US,1586114853,34,40.48,-106.83,289.15,4.1
332,lewiston,90,US,1586114651,61,44.1,-70.21,286.48,3.6
333,parati,40,BR,1586114854,51,-23.22,-44.71,301.15,2.1
334,gazanjyk,80,TM,1586114854,75,39.24,55.52,285.0,6.05
335,alpena,1,US,1586114854,19,45.06,-83.43,284.26,3.1
336,chincholi,69,IN,1586114854,24,17.47,77.43,303.29,3.21
337,kui buri,42,TH,1586114854,84,12.08,99.85,299.63,3.41
338,bajil,7,YE,1586114834,49,15.06,43.29,303.78,2.68
339,olafsvik,100,IS,1586114854,97,64.89,-23.71,271.47,26.64
340,haftoni,90,AZ,1586114854,93,38.76,48.76,286.15,5.1
341,ostrovnoy,99,RU,1586114855,95,68.05,39.51,267.59,6.17
342,aklavik,75,CA,1586114764,67,68.22,-135.01,268.15,5.7
343,revelstoke,1,CA,1586114613,47,50.98,-118.2,276.15,1.5
344,oktyabrskoye,97,RU,1586114855,55,43.06,44.74,282.82,0.69
345,katherine,100,AU,1586114855,83,-14.47,132.27,299.15,2.1
346,athabasca,100,CA,1586114855,89,54.72,-113.29,265.41,3.9
347,codrington,37,AU,1586114571,76,-38.27,141.97,284.51,4.61
348,kattivakkam,40,IN,1586114855,83,13.22,80.32,303.15,2.6
349,saint george,1,US,1586114856,26,37.1,-113.58,294.15,10.3
350,dhidhdhoo,36,MV,1586114856,69,6.88,73.1,302.05,1.03
351,taltal,15,CL,1586114856,58,-25.4,-70.48,295.37,2.56
352,shalakusha,88,RU,1586114856,92,62.22,40.25,269.1,2.92
353,kaspiyskiy,100,RU,1586114856,65,45.39,47.37,285.55,5.24
354,caucasia,92,CO,1586114856,50,7.99,-75.19,308.02,1.93
355,iskateley,26,RU,1586114856,94,67.68,53.15,265.63,3.57
356,auki,96,SB,1586114856,81,-8.77,160.7,300.77,5.93
357,lima,50,PE,1586114051,69,-12.04,-77.03,297.15,5.1
358,noumea,20,NC,1586114857,83,-22.28,166.46,296.15,2.1
359,klyavlino,29,RU,1586114857,86,54.26,52.03,272.04,2.44
360,magdalena,20,PH,1586114857,74,14.2,121.43,299.26,1.5
361,coihaique,40,CL,1586114857,50,-45.58,-72.07,283.15,3.6
362,canon city,1,US,1586114676,16,38.44,-105.24,294.15,5.7
